Country,State,Industry,Job Title,Education Level,Age_range,Years of Experience,Gender,Lead Source,is_sale
United States,Ohio,Consulting,,,40-55,15-20 Years,Male,Facebook,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,,,,10-15 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,Google,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,IL,Healthcare,,,40-55,10-15 Years,Male,Facebook,FALSE
United States,,,,,,5-10 Years,,Facebook,FALSE
United States,,,,,,10-15 Years,,Facebook,FALSE
United States,,,,,,5-10 Years,,Facebook,FALSE
United States,,,CEO,,,> 20 Years,,Web,FALSE
United States,,,,,,< 5 Years,,Google,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,,,,10-15 Years,,Facebook,FALSE
United States,,,CEO,,,< 5 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,10-15 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Google,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,Google,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,5-10 Years,,Facebook,FALSE
United States,,,,,,10-15 Years,,Web,FALSE
United States,Virginia,Others,Research,,25-40,< 5 Years,Male,Facebook,FALSE
India,,,,,,< 5 Years,,Google,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,Instructor,,,< 5 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,Ohio,Banking & Financial Services,ETL developer,,40-55,,Male,Facebook,FALSE
Mexico,,,,,,< 5 Years,,Google,FALSE
United States,,,,,,,,Web,FALSE
United States,Florida,Real Estate,It manager,,40-55,,Male,Facebook,FALSE
United States,IL,Others,Boxing Trainer,,40-55,< 5 Years,Male,Facebook,FALSE
United States,Virginia,Energy,"Sr. Dir., Charging and Energy Services",,40-55,,Male,Facebook,TRUE
United States,Tennessee,IT Products,,,20-25,,Male,Facebook,TRUE
United States,Connecticut,Banking & Financial Services,Portfolio Manager,,40-55,10-15 Years,Male,Web,TRUE
United States,CA,Others,Data Science Intern,,20-25,,Male,School,TRUE
United States,Maryland,Healthcare,Database Manager,,25-40,5-10 Years,Male,Facebook,TRUE
United States,NY,Media,Reporter,,25-40,< 5 Years,Female,Web,TRUE
United States,,,,,,5-10 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,Program Manager,,,15-20 Years,,Facebook,FALSE
United States,,,,,,15-20 Years,,Google,FALSE
American Samoa,,,,,,15-20 Years,,Google,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,,,,5-10 Years,,Web,FALSE
United States,,,,,,5-10 Years,,Web,FALSE
United States,,,,,,15-20 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,,,,5-10 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,5-10 Years,,Web,FALSE
United States,,,,,,10-15 Years,,Facebook,FALSE
United States,Virginia,Healthcare,Intern,,20-25,< 5 Years,Female,Google,FALSE
United States,CA,Insurance,Data Analyst,,25-40,< 5 Years,Male,Google,FALSE
United States,,,,,,< 5 Years,,Google,FALSE
China,,,,,,10-15 Years,,Google,FALSE
United States,South Carolina,Electronics / Hardware,Requirements Manager,,40-55,15-20 Years,Male,template,FALSE
United States,,,Vp/ sr director,,,15-20 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,inbound,FALSE
United States,,,,,,5-10 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Web,FALSE
United States,,,,,,5-10 Years,,Google,FALSE
United States,,,,,,< 5 Years,,Web,FALSE
United Kingdom,,,,,,,,Web,FALSE
United States,,,,,,> 20 Years,,Web,FALSE
United States,,,,,,10-15 Years,,Facebook,FALSE
United States,,,,,,5-10 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,,,,10-15 Years,,Facebook,FALSE
United States,,,,,,5-10 Years,,Google,FALSE
United States,CA,IT Services,,,55+,> 20 Years,Male,Facebook,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
China,Hainan,Education,researcher,,25-40,,Female,Web,FALSE
United States,,,,,,< 5 Years,,Google,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,,,,5-10 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,,,,5-10 Years,,Google,FALSE
United States,,,,,,10-15 Years,,Facebook,FALSE
United States,,,,,,10-15 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,Google,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,Google,FALSE
United States,,,,,,15-20 Years,,Web,FALSE
United States,,,,,,10-15 Years,,Facebook,FALSE
United States,IL,Banking & Financial Services,Director of Catastrophe Risk and Analytics,,25-40,,Male,template,TRUE
United States,Ohio,Retail,Architect,,40-55,,Female,inbound,TRUE
United States,Maryland,Consulting,,,40-55,5-10 Years,Male,Facebook,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,IL,IT Services,,,55+,> 20 Years,Male,Web,FALSE
United States,,,,,,> 20 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
Spain,Comunidad de Madrid,Real Estate,,,25-40,,Male,Web,FALSE
United States,,,,,,10-15 Years,,Facebook,FALSE
United States,CA,IT Services,,,55+,> 20 Years,Male,Facebook,FALSE
United States,,,,,,10-15 Years,,Facebook,FALSE
United States,,,,,,10-15 Years,,Web,FALSE
United States,,,,,,,,School,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,,,Consultant,,,< 5 Years,,Web,FALSE
United States,IL,Others,Label Maker,,20-25,< 5 Years,Female,Web,FALSE
United States,,,,,,10-15 Years,,Facebook,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,IL,IT Services,Telecommunications Electrician,,40-55,,Male,School,FALSE
United States,,,,,,< 5 Years,,Facebook,FALSE
United States,Georgia,IT Services,CIO,,55+,> 20 Years,Male,Facebook,FALSE
